/home/czar/TCC # ./regression_nqueens.sh 
=========================================
 Regressão N-Queens GA (C++)
 N=4..40 | 30 runs por tamanho
 Data: 2005-11-29 16:43:27
=========================================

N     Status       Min (µs)     Max (µs)  Média (µs)   Total (µs)  Solução (run 1)
4     OK                 147           191           154          4622  1 3 0 2
5     OK                 154           219           162          4861  1 4 2 0 3
6     OK                 492           588           519         15589  3 0 4 1 5 2
7     OK                 173           249           181          5444  6 4 2 0 5 3 1
8     OK                 220           330           232          6976  3 5 7 2 0 6 4 1
9     OK                1076          1193          1118         33550  4 2 7 5 1 8 6 0 3
10    OK                2045          2182          2082         62460  3 6 2 9 5 0 8 4 7 1
11    OK                9497          9865          9615        288452  5 3 10 7 4 8 0 2 9 6 1
12    OK                3057          3171          3095         92867  7 2 10 5 9 4 0 11 3 1 6 8
13    OK              198897        204563        200879       6026370  7 9 11 2 0 6 10 5 1 12 4 8 3
14    OK               20118         20882         20397        611939  13 5 2 11 6 12 3 0 7 10 1 9 4 8
15    OK               74720         76399         75546       2266405  10 8 14 2 7 1 11 0 6 3 5 12 9 13 4
16    OK              981795        999618        990499      29714985  13 8 4 14 0 5 10 1 7 2 15 12 9 11 6 3
17    OK              574064        585923        578221      17346650  14 10 3 5 2 4 11 13 8 6 0 15 1 16 7 9 12
18    OK             1737906       1760298       1748441      52453233  5 16 6 10 15 13 3 0 17 12 4 1 8 11 2 14 7 9
19    OK             1428438       1449221       1438938      43168140  0 3 9 17 10 2 7 5 11 13 18 16 6 4 1 8 15 12 14
20    OK              733635        746101        739044      22171345  10 4 16 18 9 11 6 0 15 5 19 13 3 7 12 2 17 14 1 8
21    OK             1272838       1285399       1278517      38355530  20 17 11 2 7 12 4 9 0 19 15 8 18 13 1 16 6 10 3 5 14
22    OK              318388        323398        320027       9600830  16 1 3 11 18 14 12 5 0 8 21 13 17 20 9 19 4 10 7 2 6 15
23    OK              271019        276108        272184       8165535  5 20 15 11 14 3 10 16 2 4 17 8 0 9 1 18 22 19 7 12 6 13 21
24    OK             3897554       3927304       3910970     117329124  3 15 6 11 19 12 1 13 18 21 2 4 10 0 5 14 17 22 7 9 20 23 16 8
25    OK              157314        161095        158354       4750631  0 12 15 6 16 10 1 21 24 17 20 8 19 9 23 14 2 18 7 4 13 3 5 11 22
